timestamp,dpid,port_no,rx_bytes,tx_bytes,rx_vazao_bps,tx_vazao_bps,anomalia
2026-07-11 13:24:56.275,1,1,656,5994,0.0,0.0,0
2026-07-11 13:24:56.275,1,2,656,5994,0.0,0.0,0
2026-07-11 13:24:56.275,1,3,4862,1908,0.0,0.0,0
2026-07-11 13:24:56.275,2,1,656,6080,0.0,0.0,0
2026-07-11 13:24:56.275,2,4,3486,3520,0.0,0.0,0
2026-07-11 13:24:56.275,2,2,656,6064,0.0,0.0,0
2026-07-11 13:24:56.275,2,3,1908,4862,0.0,0.0,0
2026-07-11 13:24:57.301,1,1,656,6334,0.0,2651.16,0
2026-07-11 13:24:57.301,1,2,656,6264,0.0,2105.33,0
2026-07-11 13:24:57.301,1,3,5132,1968,2105.33,467.85,0
2026-07-11 13:24:57.301,2,1,726,6280,545.83,1559.5,0
2026-07-11 13:24:57.301,2,4,3626,3650,1091.65,1013.68,0
2026-07-11 13:24:57.301,2,2,656,6334,0.0,2105.33,0
2026-07-11 13:24:57.301,2,3,1968,5132,467.85,2105.33,0
2026-07-11 13:24:58.321,1,1,656,6404,0.0,548.98,0
2026-07-11 13:24:58.321,1,2,656,6334,0.0,548.98,0
2026-07-11 13:24:58.321,1,3,5202,2038,548.98,548.98,0
2026-07-11 13:24:58.321,2,1,726,6420,0.0,1097.96,0
2026-07-11 13:24:58.321,2,4,3696,3720,548.98,548.98,0
2026-07-11 13:24:58.321,2,2,656,6474,0.0,1097.96,0
2026-07-11 13:24:58.321,2,3,2038,5202,548.98,548.98,0
2026-07-11 13:24:59.343,1,1,726,6614,547.98,1643.94,0
2026-07-11 13:24:59.343,1,2,726,6614,547.98,2191.92,0
2026-07-11 13:24:59.343,1,3,5342,2178,1095.96,1095.96,0
2026-07-11 13:24:59.343,2,1,726,6630,0.0,1643.94,0
2026-07-11 13:24:59.343,2,4,3766,3860,547.98,1095.96,0
2026-07-11 13:24:59.343,2,2,656,6684,0.0,1643.94,0
2026-07-11 13:24:59.343,2,3,2178,5342,1095.96,1095.96,0
2026-07-11 13:25:00.365,1,1,726,6614,0.0,0.0,0
2026-07-11 13:25:00.365,1,2,726,6614,0.0,0.0,0
2026-07-11 13:25:00.365,1,3,5342,2178,0.0,0.0,0
2026-07-11 13:25:00.365,2,1,726,6630,0.0,0.0,0
2026-07-11 13:25:00.365,2,4,3766,3860,0.0,0.0,0
2026-07-11 13:25:00.365,2,2,656,6684,0.0,0.0,0
2026-07-11 13:25:00.365,2,3,2178,5342,0.0,0.0,0
2026-07-11 13:25:01.389,1,1,726,6754,0.0,1094.18,0
2026-07-11 13:25:01.389,1,2,726,6754,0.0,1094.18,0
2026-07-11 13:25:01.389,1,3,5482,2178,1094.18,0.0,0
2026-07-11 13:25:01.389,2,1,726,6770,0.0,1094.18,0
2026-07-11 13:25:01.389,2,4,3836,4000,547.09,1094.18,0
2026-07-11 13:25:01.389,2,2,726,6754,547.09,547.09,0
2026-07-11 13:25:01.389,2,3,2178,5482,0.0,1094.18,0
2026-07-11 13:25:02.413,1,1,726,6754,0.0,0.0,0
2026-07-11 13:25:02.413,1,2,726,6754,0.0,0.0,0
2026-07-11 13:25:02.413,1,3,5482,2178,0.0,0.0,0
2026-07-11 13:25:02.413,2,1,726,6770,0.0,0.0,0
2026-07-11 13:25:02.413,2,4,3896,4000,469.0,0.0,0
2026-07-11 13:25:02.413,2,2,726,6754,0.0,0.0,0
2026-07-11 13:25:02.413,2,3,2178,5482,0.0,0.0,0
2026-07-11 13:25:03.439,1,1,726,6754,0.0,0.0,0
2026-07-11 13:25:03.439,1,2,726,6754,0.0,0.0,0
2026-07-11 13:25:03.439,1,3,5482,2178,0.0,0.0,0
2026-07-11 13:25:03.439,2,1,726,6840,0.0,545.74,0
2026-07-11 13:25:03.439,2,4,3896,4000,0.0,0.0,0
2026-07-11 13:25:03.439,2,2,726,6754,0.0,0.0,0
2026-07-11 13:25:03.439,2,3,2178,5482,0.0,0.0,0
2026-07-11 13:25:04.461,1,1,866,6894,1096.02,1096.02,0
2026-07-11 13:25:04.461,1,2,866,6894,1096.02,1096.02,0
2026-07-11 13:25:04.461,1,3,5482,2220,0.0,328.81,0
2026-07-11 13:25:04.461,2,1,726,6882,0.0,328.81,0
2026-07-11 13:25:04.461,2,4,3896,4042,0.0,328.81,0
2026-07-11 13:25:04.461,2,2,726,6796,0.0,328.81,0
2026-07-11 13:25:04.461,2,3,2220,5482,328.81,0.0,0
2026-07-11 13:25:05.481,1,1,964,7062,768.41,1317.28,0
2026-07-11 13:25:05.481,1,2,964,7062,768.41,1317.28,0
2026-07-11 13:25:05.481,1,3,5552,2220,548.86,0.0,0
2026-07-11 13:25:05.481,2,1,726,6952,0.0,548.86,0
2026-07-11 13:25:05.481,2,4,3966,4042,548.86,0.0,0
2026-07-11 13:25:05.481,2,2,726,6866,0.0,548.86,0
2026-07-11 13:25:05.481,2,3,2220,5552,0.0,548.86,0
2026-07-11 13:25:06.503,1,1,1062,7160,767.06,767.06,0
2026-07-11 13:25:06.503,1,2,1062,7160,767.06,767.06,0
2026-07-11 13:25:06.503,1,3,5552,2220,0.0,0.0,0
2026-07-11 13:25:06.503,2,1,726,6952,0.0,0.0,0
2026-07-11 13:25:06.503,2,4,3966,4042,0.0,0.0,0
